Date,Open,High,Low,Close,Volume,Adj_Close
2016-05-30,47950.0,48900.0,47658.0,48700.0,792614,48591.546875
2016-05-31,48688.0,48949.0,47649.0,47700.0,2571598,47593.76953125
2016-06-01,47427.0,48143.0,46946.0,47391.0,1997926,47285.453125
2016-06-02,47400.0,48288.0,46803.0,46909.0,1212493,46804.5234375
2016-06-03,47400.0,48871.0,47098.0,48500.0,1980354,48391.9921875
2016-06-06,46410.0,46996.0,42400.0,43252.0,6841966,43155.67578125
2016-06-07,42648.0,43880.0,41522.0,43200.0,4028933,43103.796875
2016-06-08,43700.0,44599.0,43332.0,44324.0,2450387,44225.2890625
2016-06-09,44601.0,44791.0,42891.0,43260.0,1838256,43163.65625
2016-06-10,42997.0,43116.0,41632.0,42063.0,1900145,41969.32421875
2016-06-13,41601.0,42605.0,41301.0,41713.0,2097103,41620.09765625
2016-06-14,41642.0,41800.0,40600.0,40617.0,2038936,40526.54296875
2016-06-15,41200.0,41346.0,40024.0,40994.0,6093045,40902.70703125
2016-06-16,40994.0,40994.0,40994.0,40994.0,0,40902.70703125
2016-06-17,40500.0,40700.0,39524.0,39682.0,3869767,39593.6171875
2016-06-20,40499.0,41078.0,40028.0,40949.0,2548477,40857.80859375
2016-06-21,40800.0,41300.0,40702.0,40900.0,1532288,40808.9140625
2016-06-22,41273.0,41550.0,40717.0,40717.0,1730876,40626.31640625
2016-06-23,40511.0,41252.0,40017.0,40651.0,1851487,40560.47265625
2016-06-24,38662.0,39889.0,38500.0,39647.0,2307161,39558.70703125
2016-06-27,40025.0,40092.0,38900.0,39010.0,2079399,38923.125
2016-06-28,39450.0,40300.0,39298.0,39298.0,2034362,39210.48046875
2016-06-29,39746.0,39996.0,39079.0,39470.0,2474615,39382.10546875
2016-06-30,39686.0,39900.0,38930.0,39717.0,3132397,39628.546875
2016-07-01,39700.0,40244.0,38879.0,40244.0,2160575,40154.37890625
2016-07-04,40350.0,40649.0,39521.0,40071.0,1457875,39981.75390625
2016-07-05,39610.0,40069.0,38800.0,39020.0,1955715,38933.1015625
2016-07-06,38500.0,38961.0,38353.0,38636.0,2959036,38549.95703125
2016-07-07,39000.0,39468.0,38502.0,38502.0,2491875,38416.24609375
2016-07-08,38032.0,39172.0,37974.0,38463.0,1679138,38377.33984375
2016-07-11,39027.0,39871.0,38800.0,39871.0,1888892,39782.2109375
2016-07-12,39871.0,40393.0,39365.0,39898.0,2189799,39809.1484375
2016-07-13,39986.0,40156.0,39421.0,39650.0,2065872,39561.703125
2016-07-14,39431.0,40211.0,39220.0,39638.0,1203398,39549.7265625
2016-07-15,39250.0,39979.0,38901.0,39756.0,1335179,39667.4609375
2016-07-18,39450.0,40189.0,39450.0,39930.0,1302219,39841.078125
2016-07-19,40001.0,40185.0,39361.0,40088.0,1687199,39998.71875
2016-07-20,39782.0,40144.0,39205.0,39997.0,1531795,39907.9296875
2016-07-21,39800.0,40180.0,39210.0,40095.0,1570072,40005.71484375
2016-07-22,39586.0,40278.0,39400.0,40050.0,943607,39960.80859375
2016-07-25,39768.0,40640.0,39596.0,39700.0,1408016,39611.5859375
2016-07-26,39700.0,39920.0,39000.0,39252.0,1601629,39164.5859375
2016-07-27,39513.0,39820.0,39229.0,39564.0,1801778,39475.8828125
2016-07-28,39300.0,39380.0,38501.0,38719.0,1964956,38632.7734375
2016-07-29,38669.0,38749.0,36874.0,36874.0,2907798,36791.8828125
2016-08-01,37770.0,37799.0,35912.0,36438.0,4346055,36356.85546875
2016-08-02,36438.0,37038.0,35495.0,36732.0,3657612,36650.1953125
2016-08-03,36732.0,36732.0,36732.0,36732.0,0,36650.1953125
2016-08-04,37400.0,38967.0,37032.0,37197.0,2009950,37114.15234375
2016-08-05,37699.0,37968.0,36300.0,36338.0,1494221,36257.07421875
2016-08-08,36755.0,37565.0,36700.0,37533.0,1408778,37449.40625
2016-08-09,37533.0,37533.0,37533.0,37533.0,0,37449.40625
2016-08-10,37330.0,37806.0,37199.0,37300.0,2634023,37216.92578125
2016-08-11,37147.0,37733.0,36685.0,37733.0,1400522,37648.97265625
2016-08-12,38252.0,39132.0,38252.0,38400.0,1949297,38314.484375
2016-08-15,38584.0,38850.0,37631.0,37823.0,1638520,37738.765625
2016-08-16,37823.0,38096.0,37510.0,37510.0,2541989,37426.46484375
2016-08-17,38200.0,38200.0,37005.0,37005.0,2226433,36922.5859375
2016-08-18,37078.0,37855.0,36942.0,37749.0,1883211,37664.9296875
2016-08-19,38151.0,39005.0,38035.0,38200.0,3489014,38114.92578125
2016-08-22,37744.0,38078.0,37037.0,37357.0,1506683,37273.8046875
2016-08-23,37400.0,37514.0,36300.0,37450.0,2394076,37366.59765625
2016-08-24,37896.0,38348.0,37560.0,38205.0,2707975,38119.9140625
2016-08-25,38205.0,38399.0,37325.0,37600.0,3179269,37516.265625
2016-08-26,37600.0,38145.0,37523.0,37987.0,1728686,37902.40234375
2016-08-29,38191.0,38388.0,37570.0,37956.0,1105212,37871.47265625
2016-08-30,38150.0,38390.0,37642.0,37706.0,1405210,37622.02734375
2016-08-31,37500.0,38000.0,37016.0,37016.0,2483835,36933.5703125
2016-09-01,37400.0,37400.0,36400.0,36400.0,2454924,36318.93359375
2016-09-02,36500.0,37209.0,36307.0,37209.0,1513720,37126.13671875
2016-09-05,37288.0,37958.0,37210.0,37491.0,1671166,37407.50390625
2016-09-06,37600.0,37663.0,36660.0,36953.0,1685181,36870.70703125
2016-09-07,37149.0,37247.0,36559.0,37050.0,1360521,36967.484375
2016-09-08,37190.0,37477.0,36291.0,36291.0,2822900,36210.171875
2016-09-09,36900.0,37283.0,36550.0,37030.0,2372558,36947.5390625
2016-09-12,36202.0,37200.0,35804.0,37075.0,3009460,36992.4375
2016-09-13,37075.0,38094.0,36864.0,37620.0,3087921,37536.21875
2016-09-14,37200.0,38899.0,37001.0,38650.0,4118880,38563.921875
2016-09-15,38651.0,38983.0,37946.0,37946.0,7331117,37861.4921875
2016-09-16,37800.0,38154.0,37530.0,37530.0,3506307,37446.421875
2016-09-19,37606.0,38331.0,37540.0,37700.0,1744266,37616.0390625
2016-09-20,37530.0,37546.0,36591.0,36778.0,2258690,36696.09765625
2016-09-21,36900.0,37187.0,36256.0,36256.0,2231429,36175.2578125
2016-09-22,36755.0,37370.0,36483.0,37370.0,3053269,37286.77734375
2016-09-23,36950.0,37889.0,36836.0,37182.0,2936467,37099.19921875
2016-09-26,36850.0,37038.0,36320.0,36966.0,1968362,36883.67578125
2016-09-27,36700.0,36944.0,36368.0,36368.0,2445534,36287.00390625
2016-09-28,35800.0,36120.0,35500.0,35871.0,2160197,35800.06640625
2016-09-29,37500.0,38500.0,37481.0,37932.0,4209785,37856.9921875
2016-09-30,37400.0,37786.0,36994.0,37600.0,2068906,37525.6484375
2016-10-03,37610.0,37893.0,37212.0,37400.0,1411541,37326.046875
2016-10-04,37561.0,37883.0,37354.0,37650.0,1801024,37575.5546875
2016-10-05,37450.0,38169.0,37355.0,38169.0,1651259,38093.52734375
2016-10-06,38198.0,38950.0,38151.0,38832.0,2255835,38755.21484375
2016-10-07,38832.0,39545.0,38635.0,39427.0,2447861,39349.04296875
2016-10-10,39205.0,40197.0,38849.0,40000.0,2404790,39920.8984375
2016-10-11,40301.0,41914.0,40207.0,41011.0,3910264,40929.91015625
2016-10-12,41105.0,41430.0,40187.0,40700.0,2521426,40619.52734375
2016-10-13,40349.0,40613.0,39688.0,39800.0,3018110,39721.30078125
2016-10-14,39942.0,40150.0,39509.0,39509.0,2630742,39430.87890625
2016-10-17,39800.0,40105.0,39151.0,39481.0,1702213,39402.93359375
